datetime,WorkshopEd,Username,MacroRev,distance,Edit
2019-01-30 09:43:00,SEW1,AOUAMEUR,1,3.787118,0
2019-01-30 09:47:00,SEW1,AOUAMEUR,1,4.151799,1
2019-01-30 09:49:00,SEW1,AOUAMEUR,1,4.058663,2
2019-01-30 09:50:00,SEW1,AOUAMEUR,1,3.957665,3
2019-01-30 09:51:00,SEW1,AOUAMEUR,1,3.96069,4
2019-01-30 09:53:00,SEW1,AOUAMEUR,1,3.7726040000000003,5
2019-01-30 09:54:00,SEW1,AOUAMEUR,1,3.796795,6
2019-01-30 09:55:00,SEW1,AOUAMEUR,1,3.7719989999999997,7
2019-01-30 09:56:00,SEW1,AOUAMEUR,1,3.769882,8
2019-01-30 10:00:00,SEW1,AOUAMEUR,1,3.713335,9
2019-01-30 10:01:00,SEW1,AOUAMEUR,1,3.6982160000000004,10
2019-01-30 10:02:00,SEW1,AOUAMEUR,1,3.6846080000000003,11
2019-01-30 10:03:00,SEW1,AOUAMEUR,1,3.627457,12
2019-01-30 10:04:00,SEW1,AOUAMEUR,1,3.62655,13
2019-01-30 10:05:00,SEW1,AOUAMEUR,1,3.62655,14
2019-01-30 10:06:00,SEW1,AOUAMEUR,1,3.5609309999999996,15
2019-01-30 10:07:00,SEW1,AOUAMEUR,1,3.583308,16
2019-01-30 10:08:00,SEW1,AOUAMEUR,1,3.589054,17
2019-01-30 10:09:00,SEW1,AOUAMEUR,1,3.568189,18
2019-01-30 10:10:00,SEW1,AOUAMEUR,1,3.568189,19
2019-01-30 10:12:00,SEW1,AOUAMEUR,1,3.557605,20
2019-01-30 10:13:00,SEW1,AOUAMEUR,1,3.522528,21
2019-01-30 10:14:00,SEW1,AOUAMEUR,1,3.516178,22
2019-01-30 10:15:00,SEW1,AOUAMEUR,1,3.5192019999999995,23
2019-01-30 10:16:00,SEW1,AOUAMEUR,1,3.514364,24
2019-01-30 10:17:00,SEW1,AOUAMEUR,1,3.511944,25
2019-01-30 10:18:00,SEW1,AOUAMEUR,1,3.5055940000000003,26
2019-01-30 10:19:00,SEW1,AOUAMEUR,1,3.5092230000000004,27
2019-01-30 10:20:00,SEW1,AOUAMEUR,1,3.476867,28
2019-01-30 10:21:00,SEW1,AOUAMEUR,1,3.4913819999999998,29
2019-01-30 10:24:00,SEW1,AOUAMEUR,1,3.487451,30
2019-01-30 10:25:00,SEW1,AOUAMEUR,1,3.4844269999999997,31
2019-01-30 10:26:00,SEW1,AOUAMEUR,1,3.505897,32
2019-01-30 10:27:00,SEW1,AOUAMEUR,1,3.493499,33
2019-01-30 10:29:00,SEW1,AOUAMEUR,1,3.4723319999999998,34
2019-01-30 10:30:00,SEW1,AOUAMEUR,1,3.4680980000000003,35
2019-01-30 10:32:00,SEW1,AOUAMEUR,1,3.477472,36
2019-01-30 10:33:00,SEW1,AOUAMEUR,1,3.471424,37
2019-01-30 10:35:00,SEW1,AOUAMEUR,1,3.4396730000000004,38
2019-01-30 10:37:00,SEW1,AOUAMEUR,1,3.375265,39
2019-01-30 10:38:00,SEW1,AOUAMEUR,1,3.396129,40
2019-01-30 10:39:00,SEW1,AOUAMEUR,1,3.366798,41
2019-01-30 10:40:00,SEW1,AOUAMEUR,1,3.3683099999999997,42
2019-01-30 10:42:00,SEW1,AOUAMEUR,1,3.3701239999999997,43
2019-01-30 10:43:00,SEW1,AOUAMEUR,1,3.344421,44
2019-01-30 10:45:00,SEW1,AOUAMEUR,1,3.347142,45
2019-01-30 10:48:00,SEW1,AOUAMEUR,1,3.3383730000000003,46
2019-01-30 10:49:00,SEW1,AOUAMEUR,1,3.3383730000000003,47
2019-01-30 10:58:00,SEW1,AOUAMEUR,1,3.344119,48
2019-01-30 10:59:00,SEW1,AOUAMEUR,1,3.343514,49
2019-01-30 17:16:00,SEW1,AOUAMEUR,2,3.912005,50
2019-01-30 17:17:00,SEW1,AOUAMEUR,2,3.937708,51
2019-01-30 17:20:00,SEW1,AOUAMEUR,2,3.31388,52
2019-01-30 17:22:00,SEW1,AOUAMEUR,2,3.247959,53
2019-01-30 17:23:00,SEW1,AOUAMEUR,2,3.215906,54
2019-01-30 17:26:00,SEW1,AOUAMEUR,2,2.899909,55
2019-01-30 17:27:00,SEW1,AOUAMEUR,2,2.893862,56
2019-01-30 17:28:00,SEW1,AOUAMEUR,2,2.8829759999999998,57
2019-01-30 17:29:00,SEW1,AOUAMEUR,2,2.84306,58
2019-01-30 17:30:00,SEW1,AOUAMEUR,2,2.817357,59
2019-01-30 17:32:00,SEW1,AOUAMEUR,2,2.779256,60
2019-01-30 17:33:00,SEW1,AOUAMEUR,2,2.776535,61
2019-01-30 17:34:00,SEW1,AOUAMEUR,2,2.7178709999999997,62
2019-01-30 17:35:00,SEW1,AOUAMEUR,2,2.6673720000000003,63
2019-01-30 17:37:00,SEW1,AOUAMEUR,2,2.603871,64
2019-01-30 17:40:00,SEW1,AOUAMEUR,2,2.5784700000000003,65
2019-01-30 17:41:00,SEW1,AOUAMEUR,2,2.590263,66
2019-01-30 17:42:00,SEW1,AOUAMEUR,2,2.593892,67
2019-01-30 17:43:00,SEW1,AOUAMEUR,2,2.597823,68
2019-01-30 17:44:00,SEW1,AOUAMEUR,2,2.592682,69
2019-01-30 17:45:00,SEW1,AOUAMEUR,2,2.561839,70
2019-01-30 17:46:00,SEW1,AOUAMEUR,2,2.555488,71
2019-01-30 17:47:00,SEW1,AOUAMEUR,2,2.56577,72
2019-01-30 17:48:00,SEW1,AOUAMEUR,2,2.555488,73
2019-01-30 17:50:00,SEW1,AOUAMEUR,2,2.534926,74
2019-01-30 17:51:00,SEW1,AOUAMEUR,2,2.51769,75
2019-01-30 17:53:00,SEW1,AOUAMEUR,2,2.507409,76
2019-01-30 17:55:00,SEW1,AOUAMEUR,2,2.497732,77
2019-01-30 17:56:00,SEW1,AOUAMEUR,2,2.495011,78
2019-01-30 17:57:00,SEW1,AOUAMEUR,2,2.4898700000000002,79
2019-01-30 17:58:00,SEW1,AOUAMEUR,2,2.4560020000000002,80
2019-01-30 17:59:00,SEW1,AOUAMEUR,2,2.426066,81
2019-01-30 18:00:00,SEW1,AOUAMEUR,2,2.4230419999999997,82
2019-01-30 18:02:00,SEW1,AOUAMEUR,2,2.428183,83
2019-01-30 18:04:00,SEW1,AOUAMEUR,2,2.403387,84
2019-01-30 18:05:00,SEW1,AOUAMEUR,2,2.403084,85
2019-01-30 18:06:00,SEW1,AOUAMEUR,2,2.406108,86
2019-01-30 18:07:00,SEW1,AOUAMEUR,2,2.388267,87
2019-01-30 18:08:00,SEW1,AOUAMEUR,2,2.376474,88
2019-01-30 18:09:00,SEW1,AOUAMEUR,2,2.336861,89
2019-01-30 18:10:00,SEW1,AOUAMEUR,2,2.304203,90
2019-01-30 18:11:00,SEW1,AOUAMEUR,2,2.294527,91
2019-01-30 18:12:00,SEW1,AOUAMEUR,2,2.288781,92
2019-01-30 18:13:00,SEW1,AOUAMEUR,2,2.279407,93
2019-01-30 18:14:00,SEW1,AOUAMEUR,2,2.2800119999999997,94
2019-01-30 18:15:00,SEW1,AOUAMEUR,2,2.225582,95
2019-01-30 18:18:00,SEW1,AOUAMEUR,2,2.22407,96
2019-01-30 18:20:00,SEW1,AOUAMEUR,2,2.222861,97
2019-01-30 18:22:00,SEW1,AOUAMEUR,2,2.222861,98
2019-01-30 18:23:00,SEW1,AOUAMEUR,2,2.223465,99
2019-01-31 10:09:00,SEW1,AOUAMEUR,3,2.223465,100
2019-01-31 10:20:00,SEW1,AOUAMEUR,3,2.2080439999999997,101
2019-01-31 10:21:00,SEW1,AOUAMEUR,3,2.224977,102
2019-01-31 10:22:00,SEW1,AOUAMEUR,3,2.225884,103
