datetime,WorkshopEd,Username,MacroRev,distance,Edit,Edit_norm
2019-01-30 09:44:00,SEW1,BENTKOWSKI,1,4.530198,0,0.0
2019-01-30 09:47:00,SEW1,BENTKOWSKI,1,4.343488,1,0.005
2019-01-30 09:48:00,SEW1,BENTKOWSKI,1,4.227151,2,0.01
2019-01-30 09:49:00,SEW1,BENTKOWSKI,1,4.229824,3,0.015
2019-01-30 09:50:00,SEW1,BENTKOWSKI,1,4.184037,4,0.02
2019-01-30 09:51:00,SEW1,BENTKOWSKI,1,4.16533,5,0.025
2019-01-30 09:52:00,SEW1,BENTKOWSKI,1,4.160164,6,0.03
2019-01-30 10:32:00,SEW1,BENTKOWSKI,1,2.778906,7,0.035
2019-01-30 10:33:00,SEW1,BENTKOWSKI,1,2.777659,8,0.04
2019-01-30 10:34:00,SEW1,BENTKOWSKI,1,2.701942,9,0.045
2019-01-30 10:50:00,SEW1,BENTKOWSKI,1,2.701942,10,0.05
2019-01-30 17:05:00,SEW1,BENTKOWSKI,2,4.365402,11,0.055
2019-01-30 17:06:00,SEW1,BENTKOWSKI,2,4.222876,12,0.06
2019-01-30 17:07:00,SEW1,BENTKOWSKI,2,4.288972,13,0.065
2019-01-30 17:08:00,SEW1,BENTKOWSKI,2,4.234812000000001,14,0.07
2019-01-30 17:09:00,SEW1,BENTKOWSKI,2,4.230180000000001,15,0.075
2019-01-30 17:10:00,SEW1,BENTKOWSKI,2,4.121325,16,0.08
2019-01-30 17:11:00,SEW1,BENTKOWSKI,2,4.093711,17,0.085
2019-01-30 17:12:00,SEW1,BENTKOWSKI,2,4.107251,18,0.09
2019-01-30 17:13:00,SEW1,BENTKOWSKI,2,4.103332,19,0.095
2019-01-30 17:14:00,SEW1,BENTKOWSKI,2,4.03385,20,0.1
2019-01-30 17:15:00,SEW1,BENTKOWSKI,2,4.0065919999999995,21,0.105
2019-01-30 17:16:00,SEW1,BENTKOWSKI,2,3.931231,22,0.11
2019-01-30 17:17:00,SEW1,BENTKOWSKI,2,3.861928,23,0.115
2019-01-30 17:18:00,SEW1,BENTKOWSKI,2,3.8328879999999996,24,0.12
2019-01-30 17:19:00,SEW1,BENTKOWSKI,2,3.871548,25,0.125
2019-01-30 17:20:00,SEW1,BENTKOWSKI,2,3.838054,26,0.13
2019-01-30 17:21:00,SEW1,BENTKOWSKI,2,3.8271870000000003,27,0.135
2019-01-30 17:22:00,SEW1,BENTKOWSKI,2,3.8191699999999997,28,0.14
2019-01-30 17:23:00,SEW1,BENTKOWSKI,2,3.802423,29,0.145
2019-01-30 17:24:00,SEW1,BENTKOWSKI,2,3.8022449999999997,30,0.15
2019-01-30 17:26:00,SEW1,BENTKOWSKI,2,3.710315,31,0.155
2019-01-30 17:27:00,SEW1,BENTKOWSKI,2,3.7088900000000002,32,0.16
2019-01-30 17:28:00,SEW1,BENTKOWSKI,2,3.7022980000000003,33,0.165
2019-01-30 17:32:00,SEW1,BENTKOWSKI,2,3.574203,34,0.17
2019-01-30 17:35:00,SEW1,BENTKOWSKI,2,3.434883,35,0.175
2019-01-30 17:36:00,SEW1,BENTKOWSKI,2,3.372172,36,0.18
2019-01-30 17:37:00,SEW1,BENTKOWSKI,2,3.3319080000000003,37,0.185
2019-01-30 17:42:00,SEW1,BENTKOWSKI,2,3.115803,38,0.19
2019-01-30 17:43:00,SEW1,BENTKOWSKI,2,3.1168720000000003,39,0.195
2019-01-30 17:44:00,SEW1,BENTKOWSKI,2,3.120791,40,0.2
2019-01-30 17:46:00,SEW1,BENTKOWSKI,2,3.063246,41,0.205
2019-01-30 17:47:00,SEW1,BENTKOWSKI,2,3.058079,42,0.21
2019-01-30 17:48:00,SEW1,BENTKOWSKI,2,3.05897,43,0.215
2019-01-30 17:49:00,SEW1,BENTKOWSKI,2,3.0554069999999998,44,0.22
2019-01-30 17:51:00,SEW1,BENTKOWSKI,2,2.9324779999999997,45,0.225
2019-01-30 17:53:00,SEW1,BENTKOWSKI,2,2.925708,46,0.23
2019-01-30 17:54:00,SEW1,BENTKOWSKI,2,2.923927,47,0.235
2019-01-30 17:55:00,SEW1,BENTKOWSKI,2,2.898806,48,0.24
2019-01-30 17:57:00,SEW1,BENTKOWSKI,2,2.809015,49,0.245
2019-01-30 17:59:00,SEW1,BENTKOWSKI,2,2.744878,50,0.25
2019-01-30 18:00:00,SEW1,BENTKOWSKI,2,2.7322290000000002,51,0.255
2019-01-31 10:17:00,SEW1,BENTKOWSKI,3,2.7322290000000002,52,0.26
2019-01-31 10:18:00,SEW1,BENTKOWSKI,3,2.336896,53,0.265
2019-01-31 10:19:00,SEW1,BENTKOWSKI,3,2.326029,54,0.27
2019-01-31 10:20:00,SEW1,BENTKOWSKI,3,1.566007,55,0.275
2019-01-31 10:21:00,SEW1,BENTKOWSKI,3,1.532514,56,0.28
2019-01-31 10:22:00,SEW1,BENTKOWSKI,3,1.523428,57,0.285
2019-01-31 10:34:00,SEW1,BENTKOWSKI,3,1.522715,58,0.29
2019-01-31 10:35:00,SEW1,BENTKOWSKI,3,1.525209,59,0.295
2019-01-31 10:36:00,SEW1,BENTKOWSKI,3,1.4849459999999999,60,0.3
