datetime,WorkshopEd,Username,MacroRev,distance,Edit,Edit_norm
2019-01-30 09:44:00,SEW1,BENTKOWSKI,1,4.606918,0,0.0
2019-01-30 09:47:00,SEW1,BENTKOWSKI,1,4.062893,1,0.005
2019-01-30 09:48:00,SEW1,BENTKOWSKI,1,3.5503139999999997,2,0.01
2019-01-30 09:49:00,SEW1,BENTKOWSKI,1,3.481132,3,0.015
2019-01-30 09:50:00,SEW1,BENTKOWSKI,1,3.408805,4,0.02
2019-01-30 09:51:00,SEW1,BENTKOWSKI,1,3.251572,5,0.025
2019-01-30 09:52:00,SEW1,BENTKOWSKI,1,3.185534,6,0.03
2019-01-30 10:32:00,SEW1,BENTKOWSKI,1,2.597484,7,0.035
2019-01-30 10:33:00,SEW1,BENTKOWSKI,1,2.597484,8,0.04
2019-01-30 10:34:00,SEW1,BENTKOWSKI,1,2.503145,9,0.045
2019-01-30 10:50:00,SEW1,BENTKOWSKI,1,2.503145,10,0.05
2019-01-30 17:05:00,SEW1,BENTKOWSKI,2,3.720126,11,0.055
2019-01-30 17:06:00,SEW1,BENTKOWSKI,2,3.27673,12,0.06
2019-01-30 17:07:00,SEW1,BENTKOWSKI,2,3.0660380000000003,13,0.065
2019-01-30 17:08:00,SEW1,BENTKOWSKI,2,2.188679,14,0.07
2019-01-30 17:09:00,SEW1,BENTKOWSKI,2,2.289308,15,0.075
2019-01-30 17:10:00,SEW1,BENTKOWSKI,2,1.424528,16,0.08
2019-01-30 17:11:00,SEW1,BENTKOWSKI,2,0.808176,17,0.085
2019-01-30 17:12:00,SEW1,BENTKOWSKI,2,0.566038,18,0.09
2019-01-30 17:13:00,SEW1,BENTKOWSKI,2,0.537736,19,0.095
2019-01-30 17:14:00,SEW1,BENTKOWSKI,2,4.18239,20,0.1
2019-01-30 17:15:00,SEW1,BENTKOWSKI,2,0.075472,21,0.105
2019-01-30 17:16:00,SEW1,BENTKOWSKI,2,0.07861599999999999,22,0.11
2019-01-30 17:17:00,SEW1,BENTKOWSKI,2,0.07861599999999999,23,0.115
2019-01-30 17:18:00,SEW1,BENTKOWSKI,2,0.084906,24,0.12
2019-01-30 17:19:00,SEW1,BENTKOWSKI,2,0.084906,25,0.125
2019-01-30 17:20:00,SEW1,BENTKOWSKI,2,0.084906,26,0.13
2019-01-30 17:21:00,SEW1,BENTKOWSKI,2,0.084906,27,0.135
2019-01-30 17:22:00,SEW1,BENTKOWSKI,2,0.084906,28,0.14
2019-01-30 17:23:00,SEW1,BENTKOWSKI,2,0.084906,29,0.145
2019-01-30 17:24:00,SEW1,BENTKOWSKI,2,0.084906,30,0.15
2019-01-30 17:26:00,SEW1,BENTKOWSKI,2,0.084906,31,0.155
2019-01-30 17:27:00,SEW1,BENTKOWSKI,2,0.084906,32,0.16
2019-01-30 17:28:00,SEW1,BENTKOWSKI,2,0.084906,33,0.165
2019-01-30 17:32:00,SEW1,BENTKOWSKI,2,0.08805,34,0.17
2019-01-30 17:35:00,SEW1,BENTKOWSKI,2,0.091195,35,0.175
2019-01-30 17:36:00,SEW1,BENTKOWSKI,2,0.091195,36,0.18
2019-01-30 17:37:00,SEW1,BENTKOWSKI,2,0.08805,37,0.185
2019-01-30 17:42:00,SEW1,BENTKOWSKI,2,0.09434,38,0.19
2019-01-30 17:43:00,SEW1,BENTKOWSKI,2,0.09434,39,0.195
2019-01-30 17:44:00,SEW1,BENTKOWSKI,2,0.147799,40,0.2
2019-01-30 17:46:00,SEW1,BENTKOWSKI,2,0.569182,41,0.205
2019-01-30 17:47:00,SEW1,BENTKOWSKI,2,0.569182,42,0.21
2019-01-30 17:48:00,SEW1,BENTKOWSKI,2,0.569182,43,0.215
2019-01-30 17:49:00,SEW1,BENTKOWSKI,2,0.597484,44,0.22
2019-01-30 17:51:00,SEW1,BENTKOWSKI,2,0.6069180000000001,45,0.225
2019-01-30 17:53:00,SEW1,BENTKOWSKI,2,1.1729559999999999,46,0.23
2019-01-30 17:54:00,SEW1,BENTKOWSKI,2,1.1729559999999999,47,0.235
2019-01-30 17:55:00,SEW1,BENTKOWSKI,2,1.0660379999999998,48,0.24
2019-01-30 17:57:00,SEW1,BENTKOWSKI,2,1.034591,49,0.245
2019-01-30 17:59:00,SEW1,BENTKOWSKI,2,1.059748,50,0.25
2019-01-30 18:00:00,SEW1,BENTKOWSKI,2,1.059748,51,0.255
2019-01-31 10:17:00,SEW1,BENTKOWSKI,3,1.059748,52,0.26
2019-01-31 10:18:00,SEW1,BENTKOWSKI,3,0.9402520000000001,53,0.265
2019-01-31 10:19:00,SEW1,BENTKOWSKI,3,1.738994,54,0.27
2019-01-31 10:20:00,SEW1,BENTKOWSKI,3,1.569182,55,0.275
2019-01-31 10:21:00,SEW1,BENTKOWSKI,3,1.569182,56,0.28
2019-01-31 10:22:00,SEW1,BENTKOWSKI,3,1.569182,57,0.285
2019-01-31 10:34:00,SEW1,BENTKOWSKI,3,1.569182,58,0.29
2019-01-31 10:35:00,SEW1,BENTKOWSKI,3,1.569182,59,0.295
2019-01-31 10:36:00,SEW1,BENTKOWSKI,3,1.569182,60,0.3
2019-01-31 10:37:00,SEW1,BENTKOWSKI,3,1.569182,61,0.305
2019-01-31 10:38:00,SEW1,BENTKOWSKI,3,1.575472,62,0.31
2019-01-31 10:40:00,SEW1,BENTKOWSKI,3,1.569182,63,0.315
2019-01-31 10:41:00,SEW1,BENTKOWSKI,3,1.562893,64,0.32
2019-01-31 10:42:00,SEW1,BENTKOWSKI,3,1.562893,65,0.325
2019-01-31 10:43:00,SEW1,BENTKOWSKI,3,1.569182,66,0.33
2019-01-31 10:48:00,SEW1,BENTKOWSKI,3,1.569182,67,0.335
2019-01-31 10:50:00,SEW1,BENTKOWSKI,3,1.556604,68,0.34
2019-01-31 10:51:00,SEW1,BENTKOWSKI,3,1.575472,69,0.345
2019-01-31 10:52:00,SEW1,BENTKOWSKI,3,1.569182,70,0.35
2019-01-31 10:53:00,SEW1,BENTKOWSKI,3,1.569182,71,0.355
2019-01-31 10:54:00,SEW1,BENTKOWSKI,3,1.569182,72,0.36
2019-01-31 10:55:00,SEW1,BENTKOWSKI,3,1.569182,73,0.365
2019-01-31 10:56:00,SEW1,BENTKOWSKI,3,1.581761,74,0.37
2019-01-31 10:58:00,SEW1,BENTKOWSKI,3,1.581761,75,0.375
2019-01-31 10:59:00,SEW1,BENTKOWSKI,3,1.581761,76,0.38
2019-01-31 11:00:00,SEW1,BENTKOWSKI,3,1.575472,77,0.385
2019-01-31 11:01:00,SEW1,BENTKOWSKI,3,1.575472,78,0.39
2019-01-31 11:02:00,SEW1,BENTKOWSKI,3,1.575472,79,0.395
2019-01-31 11:03:00,SEW1,BENTKOWSKI,3,1.575472,80,0.4
2019-01-31 11:04:00,SEW1,BENTKOWSKI,3,1.575472,81,0.405
2019-01-31 11:05:00,SEW1,BENTKOWSKI,3,1.575472,82,0.41
2019-01-31 11:33:00,SEW1,BENTKOWSKI,3,1.575472,83,0.415
2019-01-31 11:34:00,SEW1,BENTKOWSKI,3,1.575472,84,0.42
2019-01-31 11:35:00,SEW1,BENTKOWSKI,3,1.550314,85,0.425
2019-01-31 11:36:00,SEW1,BENTKOWSKI,3,1.550314,86,0.43
2019-01-31 11:37:00,SEW1,BENTKOWSKI,3,1.550314,87,0.435
2019-01-31 11:38:00,SEW1,BENTKOWSKI,3,1.550314,88,0.44
